EL (deg);5;5;5;5;5;5;5;5;5;5;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5;-5
AZ (deg);-25;-20;-15;-10;-5;0;5;10;15;20;25;30;35;-25;-20;-15;-10;-5;0;5;10;15;20;25;30;35;-25;-20;-15;-10;-5;0;5;10;15;20;25;30;35
f (GHz);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB)
56.8;-91.77;-92.61;-109.71;-88.81;-87.37;-71.77;-83.48;-89.13;-100.83;-92.8;-94.57;-116.49;-101.51;-91.45;-104.06;-88.93;-88.89;-88.82;-65.39;-78.88;-95.18;-90.88;-94.21;-97.04;-101.92;-98.03;-92.27;-109.18;-94.87;-88.04;-88.85;-72.35;-82.99;-97.58;-94.66;-99.75;-98.35;-104.22;-106.11
56.9;-91.91;-90.41;-101.27;-89.36;-84.35;-70.33;-82.57;-89.37;-101.38;-93.26;-95.46;-113.87;-99.35;-91.54;-90.05;-97.33;-93.71;-80.1;-64.3;-77.96;-97.27;-91.05;-95.73;-93.43;-114.38;-100.95;-95.45;-98.8;-93.59;-89.66;-85.01;-70.52;-83.35;-92.49;-97.53;-94.49;-96.05;-108.07;-102.43
57;-93.5;-91;-100.52;-86.07;-84.51;-69.88;-80.49;-87.93;-96.42;-97.27;-91.03;-112.8;-97.87;-91.98;-88.69;-111.5;-86.93;-80.23;-63.48;-74.13;-95.19;-88.89;-95.18;-92.67;-113.16;-97.84;-95.91;-91.2;-98.53;-89.78;-84.37;-70.24;-80.07;-88.46;-94.53;-96.33;-93.59;-120.94;-100.42
57.1;-92.61;-92.36;-99.78;-84.63;-83.8;-69.7;-80.14;-88.33;-90.67;-96.61;-92.95;-105.01;-96.42;-91.3;-89.47;-103.8;-86.82;-76.25;-62.92;-73.08;-95.2;-87.9;-93.38;-94.24;-113.91;-99.5;-97.11;-91.91;-96.68;-84.76;-82.29;-68.89;-79.27;-89.17;-91.18;-93.57;-93.98;-108.93;-98.75
57.2;-95.8;-96.83;-100.4;-86;-86.66;-71;-81.44;-89.44;-91.8;-99.9;-93.34;-105.82;-96.43;-91.65;-91.44;-98.69;-86.08;-76.75;-63.47;-72.01;-91.91;-86.61;-97.89;-92.15;-106.41;-99.73;-98.39;-93.61;-93.44;-86.14;-84.85;-69.59;-79.22;-88.8;-89.83;-96.07;-91.79;-103.34;-101.66
57.3;-97.29;-93.59;-93.93;-88.46;-89.22;-71.82;-82.52;-90.06;-89.73;-103.31;-96.58;-106.57;-97.52;-100.38;-90.06;-93.73;-84.7;-78.78;-64.12;-72.54;-90.54;-85.87;-94.07;-92.72;-103.46;-94.92;-107.07;-93.11;-91.55;-86.45;-86.56;-69.87;-80.24;-89.87;-88.01;-96.02;-93.38;-101.42;-97.31
57.4;-99.3;-92.39;-86.99;-93.2;-90.34;-73.89;-85.57;-93.1;-93.65;-104.63;-98.18;-105.83;-100.47;-108.25;-96.77;-88.58;-94.99;-80.59;-65.4;-74.48;-95.76;-88.27;-96.15;-96.1;-98.53;-103.99;-96.23;-94.55;-89.52;-98.85;-100.3;-72.95;-81.52;-96.31;-88.53;-98.22;-92.94;-97.74;-100.27
57.5;-98.21;-92.72;-103.38;-98.4;-95.93;-76.29;-88.52;-100;-107;-107.09;-102.8;-109.55;-105.59;-96.15;-91.44;-92.75;-94.48;-86.87;-68.89;-78.37;-95.93;-96.42;-96.48;-95.47;-100.1;-117.29;-98.27;-102.65;-92.63;-91.08;-94.34;-75.75;-85.14;-102.86;-91.96;-97.93;-95.57;-101.08;-100.68
57.6;-103.3;-93.09;-103.76;-106.69;-88.97;-77.69;-89.89;-100.33;-99.72;-114.75;-107.41;-113.18;-100.31;-104.96;-86.6;-86.8;-95.26;-81.72;-75.18;-96.36;-103.46;-97.75;-101.43;-93.74;-100.33;-101.1;-100.81;-96.5;-96.55;-92.24;-92.91;-76.27;-85.24;-96.33;-93.35;-95.53;-94.47;-100.65;-101.15
57.7;-116.53;-89.26;-103.19;-96.14;-94.44;-78.51;-89.12;-99.49;-110.47;-104.24;-99.37;-107.97;-110.26;-113.12;-85.78;-91.86;-98.71;-99.74;-82.09;-89.75;-102.39;-101.24;-99.77;-101.3;-109.79;-109.39;-105.84;-108.3;-94.66;-94.81;-96.53;-79.12;-87.67;-99.35;-103.28;-102.02;-104.39;-110.95;-107.16
