EL (deg);8.66;8.66;8.66;8.66;8.66;8.66;8.66;8.66;8.66;8.66;8.66;4.33;4.33;4.33;4.33;4.33;4.33;4.33;4.33;4.33;4.33;0;0;0;0;0;0;0;0;0;0;0;-4.33;-4.33;-4.33;-4.33;-4.33;-4.33;-4.33;-4.33;-4.33;-4.33;-8.66;-8.66;-8.66;-8.66;-8.66;-8.66;-8.66;-8.66;-8.66;-8.66;-8.66;-13;-13;-13;-13;-13;-13;-13;-13;-13;-13
AZ (deg);-25;-20;-15;-10;-5;0;5;10;15;20;25;22.5;17.5;12.5;7.5;2.5;-2.5;-7.5;-12.5;-17.5;-22.5;-25;-20;-15;-10;-5;0;5;10;15;20;25;22.5;17.5;12.5;7.5;2.5;-2.5;-7.5;-12.5;-17.5;-22.5;-25;-20;-15;-10;-5;0;5;10;15;20;25;22.5;17.5;12.5;7.5;2.5;-2.5;-7.5;-12.5;-17.5;-22.5
f (GHz);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB);trans (dB)
57.1;-95.83;-97.8;-109.51;-96.94;-98;-89.33;-100.33;-92.85;-102.42;-97.45;-100.06;-98.51;-105.24;-87.33;-95.27;-72.89;-74.45;-97.35;-89.12;-98.26;-90.51;-84.66;-94.93;-97.69;-90.93;-82.76;-72.17;-79.35;-94.08;-92.16;-98.66;-97.96;-98.64;-109.54;-88.51;-106.15;-76.22;-76.99;-101.68;-90.88;-106.03;-95.31;-98.2;-98.49;-109.24;-93.59;-100.74;-91.66;-100.26;-93.68;-104.49;-100.76;-100.28;-99.27;-103.92;-100.36;-94.87;-96.01;-96.59;-99.15;-100.7;-103.57;-101.13
57.2;-97.57;-101.6;-99.92;-91.28;-94.77;-87.72;-98.64;-90.22;-96.17;-96.35;-100.52;-96.29;-97.46;-85.56;-98.19;-71.91;-70.67;-100.72;-90.54;-97.15;-90.89;-81.12;-99.75;-92.91;-92.91;-76.18;-67.37;-75.21;-90.48;-89.11;-95.42;-95.84;-95.95;-96.39;-86.69;-96.11;-73.79;-74.14;-101.38;-88.11;-104.5;-94.9;-95.11;-97.2;-100.35;-91.85;-94.56;-92.67;-94.95;-89.59;-97.27;-98;-99.94;-98.72;-101.45;-99.1;-93.48;-90.87;-92.07;-91.93;-100.93;-98.76;-97.75
57.3;-94.3;-94.33;-95.66;-84.29;-96.38;-86.52;-89.08;-86.36;-89.87;-92.25;-95.28;-91.94;-90.27;-81.24;-101.94;-65.89;-67.97;-85.69;-81.66;-91.75;-85.22;-74.28;-88.32;-86.02;-83.98;-73.35;-64.82;-67.34;-90.88;-83.84;-90.39;-89.46;-89.96;-90.07;-81.35;-90.58;-66.49;-68.63;-93.22;-82.51;-91.69;-90.04;-91.2;-92.15;-90.03;-85.03;-88.33;-87.37;-87.93;-86.61;-90.93;-93.02;-95.94;-93.67;-94.92;-94.49;-85.08;-83.31;-83.02;-85.99;-92.79;-92.19;-91.39
57.4;-124.62;-104.34;-95.81;-96.69;-99.99;-92.16;-99.46;-97.69;-98.76;-103.91;-109.05;-100.41;-98.99;-92.68;-97.15;-74.46;-75.84;-99.59;-93.29;-101.68;-97.33;-85.6;-100.09;-93.67;-99.2;-80.01;-71.1;-78.66;-102.24;-95.8;-101.14;-99.24;-100.02;-99.23;-92.81;-104.83;-77.85;-79.25;-99.93;-94.56;-98.56;-103.45;-105.88;-107.61;-96.42;-95.3;-96.9;-95.97;-95.83;-93.81;-99.44;-103.96;-106.73;-106.4;-103.67;-102.57;-94.39;-92.57;-93.04;-95.86;-102.65;-102.45;-101.39
57.5;-111.08;-96.47;-91.43;-98.76;-115.03;-95.25;-103.93;-94.41;-95.86;-105.88;-103.81;-98.63;-92.43;-92.84;-100.06;-72.77;-77.9;-91.12;-110.86;-92.29;-91.78;-82.82;-95.81;-94.11;-99.05;-82.69;-71.05;-75;-92.72;-94.57;-96.82;-96.23;-97.14;-91.8;-91.76;-92.53;-76.55;-77.49;-96.64;-96.42;-93.34;-100.44;-107.89;-107.28;-91.93;-91.66;-95.3;-94.04;-93.59;-90.58;-94.24;-102.53;-103.43;-97.97;-96.08;-96.04;-90.86;-88.16;-88.36;-92.75;-99.32;-97.04;-95.98
57.6;-107.21;-120.24;-98.98;-96.08;-103.61;-91.31;-104.5;-98.04;-98.53;-106.82;-111.55;-100.91;-94.62;-97.08;-89.01;-75.93;-73.97;-101.17;-94.88;-91.55;-93.62;-84.04;-98.02;-93.48;-113.3;-80.06;-67.8;-84.94;-95.87;-99.81;-105.59;-100.33;-98.45;-93.42;-96.04;-94.31;-84.29;-78.94;-95.91;-95.41;-90.99;-95.53;-112.08;-105.31;-92.08;-91.34;-92.32;-94.75;-94.43;-94;-94.74;-103.68;-104.12;-98.73;-98.72;-98.11;-94.47;-90.07;-90.35;-94.43;-98.89;-95.22;-96.51
57.7;-108.31;-111.77;-96.84;-111.72;-104.51;-93.36;-98.27;-96.77;-98.95;-108.87;-108.91;-103.25;-96.24;-98.94;-94.11;-78.99;-79.01;-93.93;-103.09;-91.83;-97.77;-86.91;-96.95;-97.26;-100.6;-102.25;-75.76;-81.22;-100.17;-96.34;-98.23;-99.04;-99.16;-94.15;-95.99;-93.14;-80.82;-89.17;-99.44;-110.62;-96.97;-97.85;-115.08;-105.32;-94.44;-96.06;-94.56;-98.39;-92.48;-91.91;-94.62;-100.88;-105.16;-100.42;-95.57;-97.09;-93.64;-93.78;-95.14;-99.98;-101.78;-99;-98.23
57.8;-116.21;-121.99;-106.26;-110.64;-106.52;-109.21;-108.26;-110.57;-112.71;-120.88;-116.71;-119.07;-110.7;-112.69;-105.21;-89.61;-89.67;-107.92;-113.13;-108.23;-115.32;-108.94;-130.39;-116.98;-116.27;-102.87;-87.95;-105.63;-114.25;-124.28;-113.11;-117.15;-116.96;-115.48;-112.39;-106.1;-108.8;-106.15;-108.62;-115.45;-110.5;-107.33;-127.08;-111.68;-110.18;-108.92;-108.72;-111.05;-112.8;-111.06;-114.23;-113.13;-115.84;-115.16;-116.69;-117.41;-114.18;-108.33;-108.07;-110.46;-114.55;-113.81;-114.34
57.9;-102.86;-104.59;-99.28;-98.21;-101.1;-98.27;-100.05;-100.1;-99;-103.93;-104.79;-104.65;-99.62;-97.68;-96.12;-79.67;-84.01;-95.91;-107.77;-99.67;-102.84;-95.81;-108.08;-98.77;-121.07;-103.23;-79.57;-95.51;-106.89;-105.54;-106.79;-107.7;-108.34;-107.61;-107.8;-104.77;-89.82;-93.93;-106.66;-110.71;-117.98;-100.93;-120.24;-111.43;-114.14;-111.83;-106.29;-105.73;-112.21;-114.24;-106.58;-113.6;-110.21;-110.31;-106.58;-108.57;-108.59;-111.53;-107.26;-109.47;-114.9;-117.05;-110.96
58;-111.63;-114.46;-99.56;-100.07;-103.58;-104.1;-109.72;-102;-102.73;-106.82;-107.37;-106.15;-102.15;-101.15;-96.46;-89.81;-89.07;-97.52;-98.4;-98.88;-110.63;-95.37;-105.29;-105.92;-108.04;-103.72;-81.02;-103.31;-114.07;-106.7;-106.24;-107.66;-112.25;-107.19;-105.59;-109.96;-91.12;-94.17;-120.94;-111.14;-108.51;-106.27;-114.89;-114.34;-113.66;-118.64;-113.89;-105.78;-115.28;-114.3;-111.81;-117.07;-112.06;-114;-115.03;-130.4;-118.22;-126.9;-120.37;-120.06;-114.63;-121.51;-116.13
